#scalar perturbations for mode k = 3.115658154372e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.641463636942e+00       5.711216042315e-06      -1.209032466215e+00       7.693853430803e-04       2.009637812242e-08       5.024094530605e-08       2.300226622806e-14       1.004818906121e-08      -9.067743496615e-01       7.693853431569e-04       6.016272416510e-01       6.980810291888e-01      -1.209032369926e+00       7.691515246157e-04       2.712860606489e-04      -9.067744977899e-01       7.698645241126e-04 
       2.679104429527e+00       5.793000730429e-06      -1.209161286982e+00       7.803234641093e-04       2.096995894954e-08       5.242489737385e-08       2.469450932293e-14       1.048497947477e-08      -9.068709652367e-01       7.803234641971e-04       6.016224481572e-01       6.980585460431e-01      -1.209161178704e+00       7.800794868973e-04       2.790597049796e-04      -9.068711317901e-01       7.808233733146e-04 
       2.716745222113e+00       5.874796658311e-06      -1.209290341408e+00       7.912602372916e-04       2.186854093001e-08       5.467135232503e-08       2.648507094288e-14       1.093427046501e-08      -9.069677560558e-01       7.912602373915e-04       6.016176798580e-01       6.980361417142e-01      -1.209290220624e+00       7.910058108659e-04       2.869429323034e-04      -9.069679418256e-01       7.917814624014e-04 
       2.783613498025e+00       6.020133556896e-06      -1.209520280068e+00       8.106859047101e-04       2.352761776525e-08       5.881904441313e-08       2.992167233061e-14       1.176380888263e-08      -9.071402100514e-01       8.106859048336e-04       6.016092620598e-01       6.979965102863e-01      -1.209520135748e+00       8.104121862622e-04       3.012175542085e-04      -9.071404319793e-01       8.112464719081e-04 
       2.850481773938e+00       6.165505927026e-06      -1.209751284813e+00       8.301073226317e-04       2.526870925719e-08       6.317177314296e-08       3.370669350264e-14       1.263435462859e-08      -9.073134636099e-01       8.301073227816e-04       6.016008852890e-01       6.979570452770e-01      -1.209751115193e+00       8.298133593100e-04       3.158378391122e-04      -9.073137243909e-01       8.307091580126e-04 
       2.917350049850e+00       6.310913768702e-06      -1.209983467515e+00       8.495244390135e-04       2.709380716980e-08       6.773451792450e-08       3.786606552740e-14       1.354690358490e-08      -9.074876006366e-01       8.495244391931e-04       6.015925425883e-01       6.979177186228e-01      -1.209983270747e+00       8.492092548130e-04       3.308036773089e-04      -9.074879030959e-01       8.501695142313e-04 
       2.984218325762e+00       6.456357081923e-06      -1.210217001487e+00       8.689372566522e-04       2.900490581359e-08       7.251226453398e-08       4.242698766475e-14       1.450245290680e-08      -9.076627511156e-01       8.689372568646e-04       6.015842113126e-01       6.978784868996e-01      -1.210216775635e+00       8.685998524045e-04       3.461149578798e-04      -9.076630982117e-01       8.696275888835e-04 
       3.051086601675e+00       6.601835866689e-06      -1.210452019372e+00       8.883457587429e-04       3.100399984592e-08       7.750999961481e-08       4.741795564100e-14       1.550199992296e-08      -9.078390145288e-01       8.883457589919e-04       6.015758755798e-01       6.978393168509e-01      -1.210451762409e+00       8.879851121080e-04       3.617715688055e-04      -9.078394093567e-01       8.890834106511e-04 
       3.117954877587e+00       6.747350123000e-06      -1.210688617118e+00       9.077499085912e-04       3.309308410845e-08       8.273271027114e-08       5.286879237968e-14       1.654654205423e-08      -9.080164628383e-01       9.077499088806e-04       6.015675257191e-01       6.978001843926e-01      -1.210688326926e+00       9.073649740484e-04       3.777733969077e-04      -9.080169086323e-01       9.085369882902e-04 
       3.184823153499e+00       6.892899850857e-06      -1.210926894628e+00       9.271496795327e-04       3.527415460125e-08       8.818538650313e-08       5.881068061095e-14       1.763707730063e-08      -9.081951709711e-01       9.271496798667e-04       6.015591497411e-01       6.977610644518e-01      -1.210926568994e+00       9.267393883718e-04       3.941203277020e-04      -9.081956711082e-01       9.279883405508e-04 
       3.267579229293e+00       7.073081085758e-06      -1.211224236473e+00       9.511526934958e-04       3.810379397418e-08       9.525948493546e-08       6.689307314529e-14       1.905189698709e-08      -9.084181773549e-01       9.511526938911e-04       6.015487330607e-01       6.977126358284e-01      -1.211223863767e+00       9.507095065957e-04       4.148289284677e-04      -9.084187496404e-01       9.520582411077e-04 
       3.350335305086e+00       7.253316650649e-06      -1.211524450394e+00       9.751489107492e-04       4.108116943870e-08       1.027029235968e-07       7.584234055365e-14       2.054058471935e-08      -9.086433377959e-01       9.751489112131e-04       6.015382380278e-01       6.976641512241e-01      -1.211524026893e+00       9.746711116966e-04       4.360657057648e-04      -9.086439879073e-01       9.761247988484e-04 
       3.433091380879e+00       7.433606545532e-06      -1.211827649996e+00       9.991382564319e-04       4.421006867947e-08       1.105251716987e-07       8.572667609377e-14       2.210503433974e-08      -9.088707374971e-01       9.991382569723e-04       6.015276515771e-01       6.976155820493e-01      -1.211827171783e+00       9.986240848023e-04       4.578304340891e-04      -9.088714714015e-01       1.000188024768e-03 
       3.515847456672e+00       7.613950770406e-06      -1.212133942932e+00       1.023120660378e-03       4.749428125334e-08       1.187357031333e-07       9.661779081967e-14       2.374714062667e-08      -9.091004571995e-01       1.023120661004e-03       6.015169601860e-01       6.975669011999e-01      -1.212133405896e+00       1.022568311717e-03       4.801228846010e-04      -9.091012811603e-01       1.024247934472e-03 
       3.598603532466e+00       7.794349325271e-06      -1.212443422146e+00       1.047096048486e-03       5.093759818037e-08       1.273439954509e-07       1.085910042630e-13       2.546879909019e-08      -9.093325666099e-01       1.047096049206e-03       6.015061520733e-01       6.975180852479e-01      -1.212442821972e+00       1.046503674290e-03       5.029428249125e-04      -9.093334871941e-01       1.048304539544e-03 
       3.681359608259e+00       7.974802210127e-06      -1.212756198610e+00       1.071064371860e-03       5.454381334481e-08       1.363595333620e-07       1.217253391308e-13       2.727190667241e-08      -9.095671489580e-01       1.071064372684e-03       6.014952103034e-01       6.974691062556e-01      -1.212755530777e+00       1.070430079558e-03       5.262900193068e-04      -9.095681730434e-01       1.072357876690e-03 
       3.764115684052e+00       8.155309424975e-06      -1.213072317555e+00       1.095025528231e-03       5.831671956226e-08       1.457917989056e-07       1.361036046230e-13       2.915835978113e-08      -9.098042381670e-01       1.095025529170e-03       6.014841311423e-01       6.974199527191e-01      -1.213071577332e+00       1.094347381168e-03       5.501642285963e-04      -9.098053729489e-01       1.096407929156e-03 
